ISSN;Estrato
1517-7580;A1
2317-627X;B1
1126-1668;A3
1413-8050;A3
1980-5330;A3
2038-5498;A3
1414-6509;B2
2595-833X;B2
2318-647X;B3
1982-3533;A2
0104-0618;A2
1983-1994;B2
0102-2482;B2
1984-0756;B4
0390-6140;A3
1405-8421;B1
1665-952X;A4
2178-0587;A3
0013-0133;A1
0264-9993;A1
1517-1302;B1
2071-789X;A2
2450-0097;A4
1545-2921;A2
1864-6042;A2
0165-1765;A1
0272-7757;A1
1043-8599;A2
2227-7099;A1
1942-9347;A3
2317-9643;B4
2359-2087;B1
1678-4626;A1
0101-7330;A1
2675-3782;C
2237-1648;B1
1807-2194;A2
2238-1279;A2
1982-596X;A2
0102-6801;A2
1678-4634;A1
1517-9702;A1
2238-8346;A4
2175-6236;A1
0100-3143;A1
1519-3322;A4
2317-0093;A4
2178-8359;A2
0102-4698;A1
1982-6621;A1
1983-2540;B2
1414-3895;A3
2317-904X;A2
2596-318X;B3
1809-3760;A4
0101-465X;A1
2594-4827;B2
1981-2582;A1
1984-6444;A2
1676-2592;A1
1981-8106;A2
2177-6210;A2
2358-1468;B1
0104-4060;A1
0040-0912;A1
1360-2357;A1
0964-5292;A4
2038-9442;B3
1747-5074;A3
1983-7771;A4
1982-1123;B1
2340-1117;B2
0188-1450;B2
2317-6385;A4
1679-4508;A4
1870-9036;A4
0013-4686;A1
1389-5753;A1
1567-4223;A1
1740-7494;A3
0013-5194;A3
2175-0688;A4
0922-3444;C
2176-4883;B2
1518-6369;B2
1808-5245;A2
1807-8893;A2
2595-7716;B4
1806-5023;B2
1982-7814;A2
2045-0621;A4
1540-496X;A2
2158-8708;A4
1566-0141;A1
2177-2312;B2
2316-9303;B2
0377-7332;A1
1382-3256;A1
0142-5455;A1
2446-7405;B2
2238-0515;B2
2530-5603;B3
2317-2606;B4
1518-2924;A2
0185-500X;B4
1808-8759;B4
2359-6562;B4
1996-1073;A2
0958-305X;A2
0196-8904;A1
0140-9883;A1
1570-6478;A3
1570-646X;A3
0360-5442;A1
0301-4215;A1
2352-4847;A2
2214-6296;A1
2211-467X;A2
0973-0826;A1
2526-9720;B2
2357-707X;B1
1699-0641;B1
1695-6141;B1
1984-882X;A3
1517-9087;A3
0100-6916;B1
2175-6813;B4
1413-4152;A4
1809-4457;A4
1676-1790;B3
2317-6717;B2
1415-7314;B2
1042-9247;A4
2577-8196;C
2174-548X;A4
1809-4465;A1
0104-4036;A1
2178-695X;B1
1980-2668;B1
2174-6486;A1
2359-4381;A3
2358-4122;A4
2594-3901;A4
2595-0479;A4
1983-1730;A3
1755-1986;A4
1751-7575;A2
1343-8786;A4
0013-886X;B3
2177-7829;A4
2179-3514;B1
2237-6321;B2
2353-8821;A2
2595-4318;B3
0898-5626;A1
2515-1274;B1
1099-4300;A2
1472-3409;A1
1387-585X;A2
1573-2975;A2
0378-1909;A4
2211-4645;A1
1350-4622;A1
1582-9596;B1
1092-8758;A4
0046-225X;A3
0195-9255;A1
2164-7682;A4
1573-2959;A3
0167-6369;A3
2215-1532;A1
1756-9338;A2
1088-1913;A4
1520-6483;A4
1748-9326;A1
0013-9351;A1
1462-9011;A1
0944-1344;A2
2190-4707;A2
0959-3330;A2
1614-7499;A2
1473-2866;A1
2596-0229;A1
1679-4974;A3
2237-9622;A3
2045-7960;A2
0013-9580;A1
1525-5050;A3
1518-2487;B1
1941-5842;A4
2238-2542;A3
2317-8876;B2
2358-5390;B2
2539-2522;C
1414-8145;B1
1853-2063;B3
1853-2055;B3
2446-6190;A4
1315-0006;A4
1688-5953;A4
0798-1015;C
1665-8140;B1
1982-6524;A2
2317-7837;A2
1516-9375;A3
2526-5725;B3
1807-8575;C
0102-4701;C
1809-046X;A1
2525-1805;B3
1133-3197;A4
1697-5731;A4
0425-368X;B2
1900-8325;A4
0123-5923;A2
1688-5317;A3
2462-8433;A4
2250-4001;A2
1405-2210;A4
1853-4392;A4
0423-5037;B3
0327-5841;A3
1851-1732;A3
1983-036X;B2
0103-4014;A1
1806-9592;A1
2525-9261;B2
2316-4018;A1
1982-0275;A1
1678-4669;A1
0103-166X;A1
1413-294X;A1
1414-0144;B1
1982-6729;B2
1808-4281;A2
1980-5357;A1
0101-4161;A1
0103-6831;A1
1984-932X;A1
1646-4974;A4
1983-196X;A1
1806-6496;A3
1806-9584;A1
1678-698X;A3
1980-8208;B3
2178-2962;B2
0101-4064;A2
2316-2171;A3
2236-6407;A3
2317-773X;A4
1413-8298;B2
0102-5465;B1
2526-7752;A4
1413-0580;A4
1983-1838;B1
1961-859X;B1
1309-4297;A1
1687-6180;A3
0717-6236;A1
0250-7161;A1
2218-0559;B2
2193-9438;A4
1478-0917;A4
2286-4822;C
0955-534X;A2
1354-7798;A2
2304-9693;C
1613-9372;A2
2183-5594;B4
2235-767X;C
1450-2275;C
1460-1060;A2
0929-1261;A2
1555-4015;B3
2501-9988;B1
0309-0566;A1
0223-5234;A1
1436-6207;A1
0377-2217;A1
0014-2999;A3
1101-1262;A1
1450-216X;C
0046-2772;A1
1450-2267;C
2046-9012;A4
2037-7460;B1
1359-432X;A1
0263-2373;A1
1740-4754;A2
2444-8834;A1
1108-2976;A1
1857-7431;C
1390-5708;B1
0149-7189;A1
1525-9951;A3
1741-427X;A3
1367-6539;A4
1984-3151;B3
1983-9308;B1
1678-5428;B1
1611-2156;A2
2447-455X;B4
2447-1151;B1
1982-2413;B1
0014-4797;A3
0014-4894;A4
1744-7674;A1
1354-3776;A1
1473-7175;A2
0266-4720;A3
0957-4174;A1
2358-8195;B3
1414-4190;B3
2318-1796;B4
1415-7802;B4
1807-0221;B1
1516-6503;B3
1984-6975;A4
2316-5081;C
0263-2772;A2
2526-4281;B1
2526-8023;B1
2358-6311;A4
2176-9427;B4
1677-0439;B2
0959-3535;A3
1807-6971;A2
1981-240X;B4
1679-723X;B4
0325-5476;B3
1980-5934;A1
1544-6123;A1
2199-4730;A1
2236-5907;A3
0430-5027;A1
1396-0466;A4
2564-7504;B2
1467-2960;A1
0920-1742;A3
2238-8028;B2
1518-9740;B2
2526-9747;B2
2316-9117;B1
1809-3469;C
2179-8087;B3
1982-4688;B2
1981-223X;B2
1981-3422;B2
2042-6496;A2
1944-0049;A2
1936-9751;A1
2212-4292;A2
0308-8146;A1
0956-7135;A1
2364-6861;A4
0268-005X;A1
0740-0020;A1
2214-2894;A2
0306-9192;A1
0950-3293;A1
0963-9969;A1
0101-2061;B1
2213-3291;A3
2500-2597;B2
1463-6689;A3
1389-9341;A1
1999-4907;A2
2178-7298;A3
1517-543X;A3
0185-013X;A2
2318-6356;B3
1678-8648;A4
1519-4450;C
1980-0827;A2
1676-5826;B1
1678-8656;B3
1676-6962;B1
1874-6381;A3
1555-0753;A4
0867-6356;B1
1984-0292;A2
1983-7828;A2
0891-5849;A1
0046-5070;A1
1131-5776;B3
2238-8869;A4
0797-8952;A3
1663-4365;A2
2297-900X;A3
2504-284X;A3
1662-5161;A2
1664-3224;A2
2296-7745;A2
1664-302X;A2
1662-5129;A1
1662-453X;A3
1663-9812;A2
1664-042X;A2
1664-462X;A1
1664-1078;A1
2296-2565;A1
2297-1769;A2
0248-1294;A4
2525-8729;B3
2236-9929;A4
1674-0750;A2
0016-2361;A1
2526-4494;B2
1878-6146;A2
2314-7210;A2
1999-5903;C
2175-5825;A4
0016-3287;A1
0213-9111;A3
1981-1268;B1
0968-6673;A1
0016-6480;A1
2238-8184;B4
1676-5680;B2
1981-9021;A1
1010-6049;A1
1980-900X;B2
2352-0094;A3
0016-7185;A1
2447-9195;A4
1518-2002;A2
2178-0234;A3
0100-7912;A2
1983-8700;A2
1517-7793;A1
1867-2485;A2
1867-2477;A2
0343-2521;A3
1519-874X;B2
2316-9095;B2
0104-4486;B3
1518-6059;A2
2237-1419;A3
0094-8276;A1
2560-6115;B3
2178-0463;A2
2076-3263;A4
2177-5230;A2
0103-3964;A2
2179-0892;A1
1809-614X;B4
1984-2430;B4
1983-8220;A3
2397-0030;A3
2175-5604;A2
2526-3102;B3
1516-9103;A4
1806-9649;B1
0104-530X;B1
1808-5792;A4
2176-5308;A4
1981-1543;A2
2177-3068;B3
2238-4170;B3
2317-5087;A4
2446-8738;B3
2446-6875;B1
0872-556X;B2
2178-8030;A4
1980-5756;B1
2594-9020;C
2175-733X;B3
2595-5861;B3
1679-1827;A4
1988-9011;B3
0718-6428;B2
0717-1811;B2
2539-3669;B2
2406-4734;B2
1862-3573;B2
2174-9515;B2
2037-7975;B3
1415-9015;B2
1097-4954;A4
1947-5667;A3
0972-1509;A2
2056-6646;A2
1354-1013;A1
1044-0283;A2
2575-8608;A3
2301-2579;B1
0972-2696;A1
0974-0198;A1
0975-587X;A2
2249-460X;A1
0975-5853;C
2249-4588;C
2644-2981;B4
0975-5896;B3
1676-2819;B3
1744-1706;A3
1744-1692;A3
1875-9858;B1
2042-5805;A1
2474-2678;B3
2231-5063;C
0952-1895;A1
0740-624X;A1
2172-8690;B1
1744-6961;A4
0017-4114;B1
1414-0268;B2
0926-2644;A1
1572-9907;A1
0017-4815;A3
2447-4096;C
1806-8979;B1
2237-4639;B3
0197-3975;A1
1303-5010;B1
0017-8012;A1
2359-6090;B4
0717-9960;B4
1081-0463;B2
2526-7914;C
2515-107X;B3
1460-4582;A3
0268-1080;A1
0957-4824;A2
1478-4505;A2
1809-1261;B1
1018-1806;B3
2281-4515;B3
2405-8440;A4
1520-4391;A3
2531-1379;B3
0018-084X;B3
2071-5773;B3
1477-2299;B1
0018-1560;A1
0951-5224;A2
2042-3896;B1
